,xxx
1810,[N+:1]([C:2]([O-:3])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:6])([H:7])[C:18]([C:15]([C:13]([O:12][C:11]([H:21])([H:22])[H:23])=[O:14])([C:16]([H:24])([H:25])[H:26])[C:17]([H:27])([H:28])[H:29])([H:19])[H:20]
1811,[C:12]([C:13]([C:14]([O:16][C:17]([H:27])([H:28])[H:29])[H:23])([H:21])[H:22])([H:18])([H:19])[H:20].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:15]([H:24])([H:25])[H:26])([H:6])([H:7])[H:8]
1812,[C:1]([O:2][C:3](=[O:4])[C:5](=[C:6][H:11])[C:7]([H:13])([H:14])[H:15])([H:8])([H:9])[H:10].[H:12][C:18]([C:17]([C:16]([H:25])([H:26])[H:27])([O:21][C:22](=[O:23])[C:24]([H:29])([H:30])[H:31])[H:28])([H:19])[H:20]
1813,[C:1]([C:2]([C:3]([H:4])([C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[C:21]([C:19]([O:18][C:17]([H:24])([H:25])[H:26])=[O:20])([C:22]([H:27])[H:28])[C:23]([H:29])([H:30])[H:31])([H:10])[H:11])([H:7])([H:8])[H:9]
1814,[C:16]([C:17]([C:18]([H:19])=[N:20][C:21](=[O:22])[H:29])([H:26])[H:27])([H:23])([H:24])[H:25].[C:1]([C:2]([O:3][C:4]([O:5])([C:6](=[C:7]([H:14])[H:15])[H:13])[H:28])([H:11])[H:12])([H:8])([H:9])[H:10]
1815,[C:1]([C:2]([C:3]([H:4])([H:5])[O:16][C:15]([N:14]([H:19])[H:20])[C:17](=[C:18]([H:22])[H:23])[H:21])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
1816,[C:1]([H:8])([H:9])[H:10].[C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][H:17])[H:13])([H:11])([H:12])[C:18]([H:19])([H:20])[H:21]
1817,[C:19]([O:20][C:21]([C:22]([H:30])([H:31])[H:32])=[C:23]([H:24])[H:25])([H:26])([H:27])[H:28].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([O:6])([N:7]([H:17])[H:18])[H:29])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
1818,[C:17]([O:18][C:19]=[C:20]([H:25])[H:26])([H:21])([H:22])[H:23].[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:5])([H:6])[H:24])[C:7](=[O:8])[O:9][H:16])([H:10])([H:11])[H:12]
1819,[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[O:8][H:13])([H:9])([H:10])[H:11].[H:12][C:16]1([C:15](=[C:14]([H:22])[H:23])[H:24])[C:17]([H:25])[C:18]([H:26])=[C:19]([H:27])[C:20]([H:28])=[C:21]1[H:29]
1820,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[C:21]([C:20]([H:28])[H:29])([c:22]1[c:23]([H:31])[c:24]([H:32])[c:25]([H:33])[c:26]([H:34])[c:27]1[H:35])[H:30])([H:13])[H:14])([H:10])([H:11])[H:12]
1821,[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[N:7]([H:13])[H:14])[O:17][C:16]([C:15]([H:21])([H:22])[H:23])[O:18][C:19](=[C:20]([H:25])[H:26])[H:24])([H:11])[H:12])([H:8])([H:9])[H:10]
1822,[C:1]([C:2]([C:3]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[H:20])[C:6](=[O:7])[O:8][C:9]([H:21])([H:22])[H:23])([H:13])[H:14])([H:10])[H:11].[H:12][C:26]([C:25]([C:24]([H:31])([H:32])[H:33])([H:34])[H:35])([H:27])[N:28]([C:29](=[O:30])[H:37])[H:36]
1823,[C:1]([C:2]([C:3]([H:4])([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])[C:25]([O:24][C:22]([C:21]([H:27])([H:28])[H:29])=[O:23])([C:26]([H:31])[H:32])[H:30])([H:14])[H:15])([H:11])([H:12])[H:13]
1824,[C:1]([C:2]([H:3])([H:4])[C:9]([C:10]([C:11]([H:20])([H:21])[H:22])([O:12][C:13]([H:23])([H:24])[H:25])[H:19])([H:17])[H:18])([H:5])([H:6])[H:7].[C:8]([H:14])([H:15])[H:16]
1825,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[H:25])([H:13])[H:14])([H:10])([H:11])[H:12].[C:20](=[C:21]([N:22]([C:23](=[O:24])[H:29])[H:28])[H:27])[H:26]
1826,[C:10]([C:11](=[C:12]([H:13])[H:14])[N:15]([C:16](=[O:17])[H:23])[H:22])([H:18])([H:19])[H:20].[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])[H:9])([H:7])[H:21])[H:6]
1827,[C:1]([C:2]([H:10])[H:11])([H:7])([H:8])[H:9].[C:3]([C:4]([H:13])([H:14])[H:15])([O:5][C:6]([H:16])([H:17])[H:18])([H:12])[O:19][H:20]
1828,[C:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])([H:5])[H:7].[H:6][C:15]([C:14]([C:13]([H:23])([H:24])[H:25])([H:26])[H:27])([H:16])[c:17]1[c:18]([H:28])[c:19]([H:29])[c:20]([H:30])[c:21]([H:31])[c:22]1[H:32]
1829,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[C:27]1([H:35])[C:22]([C:21](=[C:20]([H:28])[H:29])[H:30])=[C:23]([H:31])[C:24]([H:32])=[C:25]([H:33])[C:26]1[H:34])([H:13])[H:14])([H:10])([H:11])[H:12]
1830,[C:1](=[C:2][c:3]1[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]([H:15])[c:8]1[H:16])([H:9])[H:10].[H:11][C:19]([C:18]([C:17]([H:25])([H:26])[H:27])([N:22]([C:23](=[O:24])[H:30])[H:29])[H:28])([H:20])[H:21]
1831,[C:19]([C:20](=[C:21]([H:22])[H:23])[N:24]([C:25](=[O:26])[H:32])[H:31])([H:27])([H:28])[H:29].[C:1]([H:8])([H:9])[H:10].[C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])[H:13])([H:11])([H:12])[H:30]
1832,[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[H:5][O:12][C:11]([O:10][C:9]([C:8]([H:17])([H:18])[H:19])([H:20])[H:21])[C:13]([C:14]([H:23])([H:24])[H:25])([C:15]([C:16]([H:28])([H:29])[H:30])([H:26])[H:27])[H:22]
1833,[C:13]([C:14]([C:15]([H:16])=[N:17][C:18](=[O:19])[H:26])([H:23])[H:24])([H:20])([H:21])[H:22].[C:1]([C:2]([C:3]([H:8])([H:9])[H:25])[C:4]([H:10])([H:11])[H:12])([H:5])([H:6])[H:7]
1834,[C:16]([H:17])([H:18])[H:19].[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
1835,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:9])([H:10])[O:24][C:23]([N:22]([C:21](=[C:20]([H:25])[H:26])[H:27])[H:28])[H:29])([H:11])([H:12])[H:13]
1836,[C:11]([O:12])([H:14])([H:15])[H:16].[N:1]([C:2](=[O+:3][O-:13])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:6])[H:7]
1837,[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])([H:10])[C:15]([C:13]([O:12][C:11]([H:18])([H:19])[H:20])([C:14]([H:22])([H:23])[H:24])[H:21])([H:16])[H:17])[H:8])([H:6])[H:7]
1838,[C:1]([C:2]([C:3](=[C:4]([H:14])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])([H:12])[H:13])([H:9])([H:10])[H:11].[C:21](=[O:22])[O:23][C:24](=[C:25]([H:30])[H:31])[H:29].[H:15][C:20]([H:26])([H:27])[H:28]
1839,[C:17]([C:18]([C:19]([N:21]([C:22](=[O:23])[H:34])[H:33])[H:29])([H:27])[H:28])([H:24])([H:25])[H:26].[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:5])([H:6])[C:20]([H:30])([H:31])[H:32])[C:7](=[O:8])[O:9][H:16])([H:10])([H:11])[H:12]
1840,[C:15]([C:16]([C:17]([C:18]([H:26])([H:27])[H:28])([C:19]([H:29])[H:31])[C:20]([H:32])([H:33])[H:34])([H:24])[H:25])([H:21])([H:22])[H:23].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[N:7]([H:13])[H:14])[H:30])([H:11])[H:12])([H:8])([H:9])[H:10]
1841,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:17]1([H:31])[C:16]([C:14]([C:13]([C:12]([H:22])([H:23])[H:24])([H:25])[H:26])([C:15]([H:28])([H:29])[H:30])[H:27])[C:21]([H:35])=[C:20]([H:34])[C:19]([H:33])=[C:18]1[H:32])([H:6])([H:7])[H:8]
1842,[C:1]([C:2]([C:3]([H:4])([H:5])[C:18]([C:17]([C:15]([N:14]([H:19])[H:20])=[O:16])[H:21])([H:22])[H:23])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
1843,[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])([C:5]([H:14])([H:15])[H:16])[C:19]([O:18][C:17]([H:21])([H:22])[H:23])([C:20]([H:25])[H:26])[H:24])([H:9])[H:10])([H:6])([H:7])[H:8]
1844,[C:15](=[O:16])=[O:17].[N:1]([C:2]([O:3][H:26])([C:4](=[C:5]([H:9])[H:10])[H:8])[C:13]([C:12]([C:11]([H:18])([H:19])[H:20])([H:21])[H:22])[C:14]([H:23])([H:24])[H:25])([H:6])[H:7]
1845,[C:1]([C:2]([C:3]([H:4])([H:5])[C:16]([O:15][C:14]([H:18])([H:19])[H:20])([C:17]([H:22])[H:23])[H:21])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
1846,[C:15]([C:16]([C:17]([C:18]([H:31])([H:32])[H:33])([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22][c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([O:2][C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:6])([H:7])[H:36])[H:11])([H:8])([H:9])[H:10]
1847,[C:10]([C:11](=[C:12]([H:13])[c:14]1[c:15]([H:25])[c:16]([H:26])[c:17]([H:27])[c:18]([H:28])[c:19]1[H:29])[H:23])([H:20])([H:21])[H:22].[H:9][H:24].[O:1]([C:2](=[O:3])[C:4](=[C:5][H:8])[H:7])[H:6]
1848,[C:1]([C:2]([N:3]([C:4](=[O:5])[H:10])[H:9])([H:8])[C:13]([C:12]([C:11]([H:19])([H:20])[H:21])([N:16]([C:17](=[O:18])[H:24])[H:23])[H:22])([H:14])[H:15])([H:6])[H:7]
1849,[C:11]([C:12](=[C:13]([H:14])[H:15])[O:16][C:17](=[O:18])[C:19]([H:24])([H:25])[H:26])([H:20])([H:21])[H:22].[H:6][H:23].[N:1]([C:2](=[O:3])[C:4](=[C:5]([H:9])[H:10])[H:8])[H:7]
1850,[C:1]([C:2](=[O:3])[O:4][C:5]=[C:6]([H:11])[H:12])([H:7])([H:8])[H:9].[H:10][C:15]([C:14]([C:13]([H:21])([H:22])[H:23])([H:24])[H:25])([H:16])[O:17][C:18](=[O:19])[C:20]([H:26])([H:27])[H:28]
1851,[N:1]([C:2](=[O:3])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:6])[H:7].[O:11][H:12]
1852,[C:17]([C:18](=[C:19]([H:26])[H:27])[C:20]=[O:21])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])([C:5]([H:14])([H:15])[H:16])[O:22][H:28])([H:9])[H:10])([H:6])([H:7])[H:8]
1853,[C:1]([O:2][C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:14])[H:15])([H:8])([H:9])[H:10].[H:13][C:20]([C:18]([O:17][C:16]([H:23])([H:24])[H:25])([C:19]([H:27])([H:28])[H:29])[H:26])([H:21])[H:22]
1854,[C:1]([C:2]1=[C:6]([N:8]([H:13])[H:14])[O:7][C:3]1([H:4])[H:5])([H:9])([H:10])[H:11].[H:12][C:19]([C:17]([O:16][C:15]([H:22])([H:23])[H:24])=[O:18])([C:20]([H:25])[H:26])[C:21]([H:27])([H:28])[H:29]
1855,[C:1]([C:2]([C:3]([O:5][C:6]([H:16])([H:17])[H:18])([H:12])[O:19][H:20])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([H:13])([H:14])[H:15]
1856,[C:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:11])([H:12])[C:15]([C:14]([C:13]([H:21])([H:22])[H:23])([N:18]([C:19](=[O:20])[H:26])[H:25])[H:24])([H:16])[H:17])[H:10])([H:7])([H:8])[H:9]
1857,[C:12]([C:13]([C:14]([C:15]([H:24])([H:25])[H:26])([O:16][C:17]([H:27])([H:28])[H:29])[H:23])([H:21])[H:22])([H:18])([H:19])[H:20].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:6])([H:7])[H:8]
1858,[C:13]([C:14](=[C:15]([H:16])[c:17]1[c:18]([H:28])[c:19]([H:29])[c:20]([H:30])[c:21]([H:31])[c:22]1[H:32])[H:26])([H:23])([H:24])[H:25].[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4]([O:5][H:27])[O:6][H:12])([H:7])([H:8])[H:9]
1859,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([O:6])([N:7]([H:17])[H:18])[C:21]([C:20]([C:19]([H:27])([H:28])[H:29])([N:24]([C:25](=[O:26])[H:32])[H:31])[H:30])([H:22])[H:23])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
1860,[C:1]([O:2][O:3][C:11]([O:10][C:8]([C:7]([H:13])([H:14])[H:15])=[O:9])([C:12]([H:17])[H:18])[H:16])([H:4])([H:5])[H:6]
1861,[C:1]([C:2]([C:3]([H:4])([H:5])[C:19]([N:18]([C:16]([C:15]([C:14]([H:21])([H:22])[H:23])([H:24])[H:25])([C:17]([H:27])([H:28])[H:29])[H:26])[H:30])([O:20])[H:31])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
1862,[C:1]([H:11])([H:12])[H:13].[C:2]([C:3]([C:4]([H:17])([H:18])[H:19])([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]1[H:24])[H:16])([H:14])([H:15])[C:27]([C:26]([C:25]([H:34])([H:35])[H:36])([O:30][C:31](=[O:32])[C:33]([H:38])([H:39])[H:40])[H:37])([H:28])[H:29]
1863,[C:1]([O:2][C:3]([C:4]([H:9])[H:10])([H:8])[C:13]([C:12]([C:11]([H:22])([H:23])[H:24])([c:16]1[c:17]([H:26])[c:18]([H:27])[c:19]([H:28])[c:20]([H:29])[c:21]1[H:30])[H:25])([H:14])[H:15])([H:5])([H:6])[H:7]
1864,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])[H:13])([H:11])[H:12])([H:8])[H:9].[H:10][C:22]([C:20]([C:19]([H:28])([H:29])[H:30])([C:21]([H:31])([H:32])[H:33])[C:25](=[O:26])[O:27][H:34])([H:23])[H:24]
1865,[C:1]([C:2]([H:3])([H:4])[C:13]1([H:27])[C:12]([C:10]([C:9]([C:8]([H:18])([H:19])[H:20])([H:21])[H:22])([C:11]([H:24])([H:25])[H:26])[H:23])[C:17]([H:31])=[C:16]([H:30])[C:15]([H:29])=[C:14]1[H:28])([H:5])([H:6])[H:7]
1866,[C:1](=[C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:7])[H:8].[H:6][C:12]([C:13]([N:14]([C:15](=[O:16])[H:21])[H:20])[H:19])([H:17])[H:18]
1867,[C:1]([O:2][C:3](=[C:4][H:10])[H:8])([H:5])([H:6])[H:7].[H:9][C:15]([C:13]([O:12][C:11]([H:18])([H:19])[H:20])([C:14]([H:22])([H:23])[H:24])[H:21])([H:16])[H:17]
1868,[C:16]([O:17][C:18]([C:19]([H:27])([H:28])[H:29])([C:20]([H:21])[H:22])[H:26])([H:23])([H:24])[H:25].[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
1869,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([N:5]([C:6](=[O:7])[H:18])[H:17])[H:13])[H:11])([H:8])([H:9])[H:10].[H:12][C:21]([C:20]([C:19]([H:27])([H:28])[H:29])([N:24]([C:25](=[O:26])[H:32])[H:31])[H:30])([H:22])[H:23]
1870,[C:19]([C:20]([C:21]([C:22]([H:32])([H:33])[H:34])=[C:23]([H:24])[H:25])([H:29])[H:30])([H:26])([H:27])[H:28].[C:1]([H:8])([H:9])[H:10].[C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])[H:13])([H:11])([H:12])[H:31]
1871,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[C:21]([C:20]([H:26])([H:27])[H:28])([H:29])[H:30])([H:13])[H:14])([H:10])([H:11])[H:12].[C:22]([C:23]([H:31])([H:32])[H:33])([C:24]([H:34])([H:35])[H:36])[C:25]([H:37])([H:38])[H:39]
1872,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:11])[H:12])([C:7]([H:13])([H:14])[H:15])[C:18]([C:17]([C:16]([H:25])([H:26])[H:27])([O:21][C:22](=[O:23])[C:24]([H:29])([H:30])[H:31])[H:28])([H:19])[H:20])([H:8])([H:9])[H:10]
1873,[C:1]([C:2]([C:3]([H:4])([H:5])[C:15]([C:14]([H:20])([H:21])[H:22])([O:16])[O:17][C:18](=[C:19]([H:24])[H:25])[H:23])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
1874,[C:1]([C:2]([C:3]([H:4])([O:5][C:6]([H:12])([H:13])[H:14])[C:16]([C:15]([H:23])[H:24])([c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])[H:25])([H:10])[H:11])([H:7])([H:8])[H:9]
1875,[C:1]([H:8])([H:9])([H:10])[C:23]([C:21]([C:19]([O:18][C:17]([C:16]([H:26])([H:27])[H:28])([H:29])[H:30])=[O:20])([C:22]([H:32])([H:33])[H:34])[H:31])([H:24])[H:25].[C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12]
1876,[C:1]([H:2])([H:3])([H:4])[C:8]([C:7]([O:6][C:5]([H:9])([H:10])[H:11])[H:12])([H:13])[H:14]
1877,[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[O:8][H:13])([H:9])([H:10])[H:11].[H:12][C:16]([O:15][C:14]([H:21])([H:22])[H:23])([O:17])[C:18](=[C:19]([H:24])[H:25])[C:20]([H:26])([H:27])[H:28]
1878,[C:13]([C:14]([C:15]([H:16])[O:17][C:18]([H:24])([H:25])[H:26])([H:22])[H:23])([H:19])([H:20])[H:21].[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4](=[O:5])[O:6][H:12])([H:7])([H:8])[H:9]
1879,[C:12]([C:13]([C:14]([C:15]([H:23])([H:24])[H:25])([C:16]([H:26])([H:27])[H:28])[C:17]([H:29])([H:30])[H:31])([H:21])[H:22])([H:18])[H:19].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[H:20])([H:6])([H:7])[H:8]
1880,[C:1]([C:2]([C:3]([H:4])([H:5])[H:30])([c:6]1[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]([H:19])[c:11]1[H:20])[H:15])([H:12])([H:13])[H:14].[C:21](=[C:22]([N:23]([C:24]=[O:25])[H:29])[H:28])([H:26])[H:27]
1881,[C:1]([C:2]([C:3]([H:4])([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])[C:21]([C:22]([N:23]([C:24](=[O:25])[H:30])[H:29])[H:28])([H:26])[H:27])([H:14])[H:15])([H:11])([H:12])[H:13]
1882,[C:1]([C:2]([H:3])([H:4])[C:10]([C:9]([C:8]([H:14])([H:15])[H:16])([H:17])[H:18])([C:11]([H:20])([H:21])[H:22])[H:19])([H:5])([H:6])[H:7].[O:12][C:13]([H:23])([H:24])[H:25]
1883,[C:1]([C:2]([H:3])([H:4])[H:23])([H:5])([H:6])[H:7].[C:8]([C:9]([C:10]([C:11]([H:22])[H:24])([C:12]([H:25])([H:26])[H:27])[C:13](=[O:14])[O:15][C:16]([H:28])([H:29])[H:30])([H:20])[H:21])([H:17])([H:18])[H:19]
1884,[C:1]([C:2]([C:3]([H:4])([H:5])[C:17]([C:16]([C:15]([H:22])([H:23])[H:24])([H:25])[H:26])([C:18]([H:28])([H:29])[H:30])[H:27])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11].[N:19]([C:20](=[O:21])[H:32])[H:31]
1885,[C:10]([C:11](=[C:12]([H:13])[O:14][C:15]([H:21])([H:22])[H:23])[H:19])([H:16])([H:17])[H:18].[O:1]([C:2]([O:3][H:20])[C:4](=[C:5]([H:8])[H:9])[H:7])[H:6]
1886,[C:2](=[O:3])([C:4](=[C:5]([H:8])[H:9])[H:7])[O:11][O:10][H:12].[O:1][H:6]
1887,[C:1]([O:2][O:3][H:21])([H:4])([H:5])[H:6].[C:7]([C:8]([C:9]([C:10]([H:22])[H:23])([O:11][C:12](=[O:13])[C:14]([H:24])([H:25])[H:26])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17]
1888,[C:4]([O:5][C:6](=[C:7]([H:12])[H:13])[H:11])([H:9])[H:10].[O:1]([O:2][H:8])[H:3]
1889,[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4](=[O:5])[O:6][H:12])([H:8])[H:9].[H:7][C:15]([C:14]([C:13]([H:24])([H:25])[H:26])([c:18]1[c:19]([H:28])[c:20]([H:29])[c:21]([H:30])[c:22]([H:31])[c:23]1[H:32])[H:27])([H:16])[H:17]
1890,[C:11]([C:12](=[C:13]([H:14])[C:15]([C:16]([H:24])([H:25])[H:26])([H:22])[H:23])[H:20])([H:17])([H:18])[H:19].[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])([H:10])[H:21])[H:8])([H:6])[H:7]
1891,[C:1]([C:2]([C:3]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[C:21](=[C:22]([H:23])[H:24])([H:26])[H:27].[C:4]([H:13])([H:14])([H:15])[H:25]
1892,[C:1]([H:10])([H:11])[H:12].[C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:16])([H:17])[H:18])([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:15])([H:13])([H:14])[O:24][H:25]
1893,[H:9][O:11][H:12].[N:1]([C:2](=[O:3])[C:4](=[C:5][H:10])[H:8])([H:6])[H:7]
1894,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:9])([H:10])[C:22]([C:21]([C:20]([H:26])([H:27])[H:28])[C:23](=[O:24])[O:25][H:31])([H:29])[H:30])([H:11])([H:12])[H:13]
1895,[C:1]([C:2]([H:3])([H:4])[H:21])([H:5])([H:6])[H:7].[C:8]([C:9]([O:10][C:11](=[O:12])[C:13]([C:14]([H:23])([H:24])[H:25])([C:15]([C:16]([H:28])([H:29])[H:30])([H:26])[H:27])[H:22])[H:20])([H:17])([H:18])[H:19]
1896,[C:1]([C:2](=[C:3]([H:4])[O:5][C:6]([H:12])([H:13])[H:14])[H:10])([H:7])([H:8])[H:9].[H:11][C:19]1([H:27])[C:18]([H:26])=[C:17]([C:16](=[C:15]([H:23])[H:24])[H:25])[C:22]([H:30])=[C:21]([H:29])[C:20]1[H:28]
1897,[C:1]([C:2]([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11].[C:3]1([H:4])([H:5])[C:15]([N:14]([H:19])[H:20])([C:17](=[C:18]([H:22])[H:23])[H:21])[O:16]1
1898,[C:1]([C:2]([C:3]([H:4])([H:5])[C:24]([H:34])([H:35])[H:36])([c:6]1[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]([H:19])[c:11]1[H:20])[H:15])([H:12])([H:13])[H:14].[C:21]([C:22]([C:23]([N:25]([C:26](=[O:27])[H:38])[H:37])[H:33])([H:31])[H:32])([H:28])([H:29])[H:30]
1899,[C:1](=[C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:7])[H:8].[H:6][C:15]([O:14][C:13]([C:12]([H:19])([H:20])[H:21])([H:22])[H:23])([O:16])[C:17](=[C:18]([H:25])[H:26])[H:24]
1900,[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[C:14]([C:15]([N:16]([C:17](=[O:18])[H:23])[H:22])[H:21])([H:19])[H:20])([H:11])[H:12])([H:8])([H:9])[H:10]
1901,[O:1][O:2][C:6]([C:5]([H:3])([C:4]([H:8])([H:9])[H:10])[C:7]([H:13])([H:14])[H:15])([H:11])[H:12]
1902,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:15]([C:14]([O:13][C:12]([H:16])([H:17])[H:18])[H:19])([H:20])[H:21])([H:6])([H:7])[H:8]
1903,[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[C:9](=[C:10]([H:15])[H:16])[C:11]([H:17])([H:18])[H:19].[H:5][C:8]([H:12])([H:13])[H:14]
1904,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[C:21]([C:20]([C:19]([H:26])([H:27])[H:28])([H:29])[H:30])([H:22])[C:23](=[O:24])[O:25][H:31])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[N:7]([H:17])[H:18]
1905,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])=[C:8]([C:9]([H:17])([H:18])[H:19])[H:16])([H:13])[H:14])([H:10])([H:11])[H:12].[H:15][C:27]1([H:41])[C:26]([H:40])[C:25]([H:39])=[C:24]([C:22]([C:21]([C:20]([H:30])([H:31])[H:32])([H:33])[H:34])([C:23]([H:36])([H:37])[H:38])[H:35])[C:29]([H:43])=[C:28]1[H:42]
1906,[C:1]([O:2][C:6]([H:7])([C:8]([H:10])([H:11])[S:12][C:13]([O:15][O:14])([H:16])[H:17])[H:9])([H:3])([H:4])[H:5]
1907,[C:19]([C:20](=[C:21]([H:22])[H:23])[N:24]([C:25](=[O:26])[H:32])[H:31])([H:27])([H:28])[H:29].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]=[O:6])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[N:7]([H:17])([H:18])[H:30]
