rxn_smiles,ea
[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:22]([H:23])[n:7][n:8]1[H:10].[c:11]1([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]([H:19])[c:15]([H:20])[c:21]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:22](-[c:21]2[c:11]([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]([H:19])[c:15]2[H:20])[n:7][n:8]1[H:10].[H:23],15.5
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[o:7][c:23]([H:24])[n:8]1)([H:9])([H:10])[H:11].[F:19][C:22]([F:20])[F:21]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[o:7][c:23]([C:22]([F:19])([F:20])[F:21])[n:8]1)([H:9])([H:10])[H:11].[H:24],8.0
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[n:8][o:7][c:6]([H:18])[c:23]1[H:24])([H:9])([H:10])[H:11].[H:19][C:22]([H:20])[H:21]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[n:8][o:7][c:6]([H:18])[c:23]1[C:22]([H:19])([H:20])[H:21])([H:9])([H:10])[H:11].[H:24],20.9
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:24]([H:25])[o:7][n+:8]1[H:19])([H:9])([H:10])[H:11].[F:20][C:23]([F:21])[H:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:24]([C:23]([F:20])([F:21])[H:22])[o:7][n+:8]1[H:19])([H:9])([H:10])[H:11].[H:25],10.9
[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:18]([H:19])[n:6][c:7]1[H:13])([H:8])([H:9])[H:10].[F:14][C:17]([F:15])[H:16]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:18]([C:17]([F:14])([F:15])[H:16])[n:6][c:7]1[H:13])([H:8])([H:9])[H:10].[H:19],13.3
[C:12]([H:16])([H:17])([H:18])[C:22]([C:13]([H:19])([H:20])[H:21])[C:14]#[N:15].[C:1]([O:2][c:3]1[n+:6]([H:11])[o:5][c:4]([H:10])[c:23]1[H:24])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n+:6]([H:11])[o:5][c:4]([H:10])[c:23]1[C:22]([C:12]([H:16])([H:17])[H:18])([C:13]([H:19])([H:20])[H:21])[C:14]#[N:15])([H:7])([H:8])[H:9].[H:24],26.7
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[n:9][c:8]([H:20])[c:7]([H:19])[n:6][c:32]1[H:33])([H:10])([H:11])[H:12].[c:21]1([H:26])[c:22]([H:27])[c:23]([H:28])[c:24]([H:29])[c:25]([H:30])[c:31]1>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[n:9][c:8]([H:20])[c:7]([H:19])[n:6][c:32]1-[c:31]1[c:21]([H:26])[c:22]([H:27])[c:23]([H:28])[c:24]([H:29])[c:25]1[H:30])([H:10])([H:11])[H:12].[H:33],12.0
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[n:7]([H:19])[c:30]([H:31])[n:8]1)([H:9])([H:10])[H:11].[c:20]1([H:25])[c:21]([H:26])[n:22][c:23]([H:27])[c:24]([H:28])[c:29]1>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[n:7]([H:19])[c:30](-[c:29]2[c:20]([H:25])[c:21]([H:26])[n:22][c:23]([H:27])[c:24]2[H:28])[n:8]1)([H:9])([H:10])[H:11].[H:31],11.8
[C:11]([F:12])([F:13])([F:14])[C:17]([H:15])[H:16].[C:1]([O:2][c:3]1[n:4][c:5]([H:10])[c:18]([H:19])[s:6]1)([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:4][c:5]([H:10])[c:18]([C:17]([C:11]([F:12])([F:13])[F:14])([H:15])[H:16])[s:6]1)([H:7])([H:8])[H:9].[H:19],15.1
[C:13]([H:16])([H:17])([H:18])[C:19]([F:14])[F:15].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[c:20]([H:21])[c:8]([H:12])[n:9]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[c:20]([C:19]([C:13]([H:16])([H:17])[H:18])([F:14])[F:15])[c:8]([H:12])[n:9]1.[H:21],14.1
[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[n:7][c:21]([H:22])[s:8]1.[c:10]1([H:15])[c:11]([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]([H:19])[c:20]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[n:7][c:21](-[c:20]2[c:10]([H:15])[c:11]([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]2[H:19])[s:8]1.[H:22],11.4
[C:1]([O:2][c:3]1[c:4]([H:11])[c:24]([H:25])[n:5][c:6]([H:12])[c:7]1[H:13])([H:8])([H:9])[H:10].[c:14]1([H:19])[c:15]([H:20])[n:16][c:17]([H:21])[c:18]([H:22])[c:23]1>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:24](-[c:23]2[c:14]([H:19])[c:15]([H:20])[n:16][c:17]([H:21])[c:18]2[H:22])[n:5][c:6]([H:12])[c:7]1[H:13])([H:8])([H:9])[H:10].[H:25],12.3
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[s:7][n+:6]([H:18])[c:24]1[H:25])([H:9])([H:10])[H:11].[H:20][C:23]([H:21])[H:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[s:7][n+:6]([H:18])[c:24]1[C:23]([H:20])([H:21])[H:22])([H:9])([H:10])[H:11].[H:25],9.9
[C:11]([C:12]([F:13])([F:14])[F:15])([H:18])([H:19])[C:20]([H:16])[H:17].[F:1][C:2]([F:3])([F:4])[c:5]1[n+:6]([H:9])[c:21]([H:22])[c:7]([H:10])[s:8]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[n+:6]([H:9])[c:21]([C:20]([C:11]([C:12]([F:13])([F:14])[F:15])([H:18])[H:19])([H:16])[H:17])[c:7]([H:10])[s:8]1.[H:22],20.2
[C:1]([O:2][c:3]1[o:6][c:5]([H:11])[c:4]([H:10])[c:22]1[H:23])([H:7])([H:8])[H:9].[c:12]1([H:17])[c:13]([H:18])[n:14][c:15]([H:19])[c:16]([H:20])[c:21]1>>[C:1]([O:2][c:3]1[o:6][c:5]([H:11])[c:4]([H:10])[c:22]1-[c:21]1[c:12]([H:17])[c:13]([H:18])[n:14][c:15]([H:19])[c:16]1[H:20])([H:7])([H:8])[H:9].[H:23],13.1
[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][n:6]([H:11])[c:16]1[H:17])([H:7])([H:8])[H:9].[F:12][C:15]([F:13])[H:14]>>[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][n:6]([H:11])[c:16]1[C:15]([F:12])([F:13])[H:14])([H:7])([H:8])[H:9].[H:17],14.7
[C:13]([H:15])([H:16])([H:17])[C:22]([C:14]([H:19])([H:20])[H:21])[H:18].[C:1]([O:2][c:3]1[n+:6]([H:12])[c:5]([H:11])[n:4]([H:10])[c:23]1[H:24])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n+:6]([H:12])[c:5]([H:11])[n:4]([H:10])[c:23]1[C:22]([C:13]([H:15])([H:16])[H:17])([C:14]([H:19])([H:20])[H:21])[H:18])([H:7])([H:8])[H:9].[H:24],8.8
[F:11][C:14]([F:12])[F:13].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[s:7][c:15]([H:16])[n+:8]1[H:10]>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[s:7][c:15]([C:14]([F:11])([F:12])[F:13])[n+:8]1[H:10].[H:16],12.2
[C:12]([H:15])([H:16])([H:17])[C:18]([H:13])[H:14].[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][n:6]([H:11])[c:19]1[H:20])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][n:6]([H:11])[c:19]1[C:18]([C:12]([H:15])([H:16])[H:17])([H:13])[H:14])([H:7])([H:8])[H:9].[H:20],18.8
[C:1]([O:2][c:3]1[c:4]([H:11])[c:18]([H:19])[c:5]([H:12])[n:6][c:7]1[H:13])([H:8])([H:9])[H:10].[F:14][C:17]([F:15])[H:16]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:18]([C:17]([F:14])([F:15])[H:16])[c:5]([H:12])[n:6][c:7]1[H:13])([H:8])([H:9])[H:10].[H:19],14.1
[C:11]([H:13])([H:14])([H:15])[C:20]([C:12]([H:17])([H:18])[H:19])[H:16].[C:1]([O:2][c:3]1[n:6][c:5]([H:10])[o:4][c:21]1[H:22])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:6][c:5]([H:10])[o:4][c:21]1[C:20]([C:11]([H:13])([H:14])[H:15])([C:12]([H:17])([H:18])[H:19])[H:16])([H:7])([H:8])[H:9].[H:22],11.6
[F:1][C:2]([F:3])([F:4])[c:5]1[o:8][n+:7]([H:10])[c:6]([H:9])[c:15]1[H:16].[H:11][C:14]([H:12])[H:13]>>[F:1][C:2]([F:3])([F:4])[c:5]1[o:8][n+:7]([H:10])[c:6]([H:9])[c:15]1[C:14]([H:11])([H:12])[H:13].[H:16],15.1
[C:13]([F:14])([F:15])([F:16])[C:19]([H:17])[H:18].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[n:8][c:9]([H:12])[c:20]1[H:21]>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[n:8][c:9]([H:12])[c:20]1[C:19]([C:13]([F:14])([F:15])[F:16])([H:17])[H:18].[H:21],18.8
[C:11]([F:12])([F:13])([F:14])[C:17]([H:15])[H:16].[C:1]([O:2][c:3]1[n:6][s:5][c:4]([H:10])[c:18]1[H:19])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:6][s:5][c:4]([H:10])[c:18]1[C:17]([C:11]([F:12])([F:13])[F:14])([H:15])[H:16])([H:7])([H:8])[H:9].[H:19],16.1
[C:15]([H:18])([H:19])([H:20])[C:21]([F:16])[F:17].[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:6]([H:13])[c:22]([H:23])[n+:7]1[H:14])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:6]([H:13])[c:22]([C:21]([C:15]([H:18])([H:19])[H:20])([F:16])[F:17])[n+:7]1[H:14])([H:8])([H:9])[H:10].[H:23],13.6
[C:10]([C:11]([F:12])([F:13])[F:14])([H:17])([H:18])[C:19]([H:15])[H:16].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:20]([H:21])[o:7][n:8]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:20]([C:19]([C:10]([C:11]([F:12])([F:13])[F:14])([H:17])[H:18])([H:15])[H:16])[o:7][n:8]1.[H:21],16.4
[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:6]([H:13])[c:24]([H:25])[n:7]1)([H:8])([H:9])[H:10].[c:14]1([H:19])[c:15]([H:20])[n:16][c:17]([H:21])[c:18]([H:22])[c:23]1>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:6]([H:13])[c:24](-[c:23]2[c:14]([H:19])[c:15]([H:20])[n:16][c:17]([H:21])[c:18]2[H:22])[n:7]1)([H:8])([H:9])[H:10].[H:25],12.8
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:27]([H:28])[c:7]([H:19])[o:8]1)([H:9])([H:10])[H:11].[C:20]([H:23])([H:24])([H:25])[C:26]([F:21])[F:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:27]([C:26]([C:20]([H:23])([H:24])[H:25])([F:21])[F:22])[c:7]([H:19])[o:8]1)([H:9])([H:10])[H:11].[H:28],15.9
[C:12]([C:13]([F:14])([F:15])[F:16])([H:19])([H:20])[C:21]([H:17])[H:18].[C:1]([O:2][c:3]1[s:6][c:5]([H:11])[c:4]([H:10])[c:22]1[H:23])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[s:6][c:5]([H:11])[c:4]([H:10])[c:22]1[C:21]([C:12]([C:13]([F:14])([F:15])[F:16])([H:19])[H:20])([H:17])[H:18])([H:7])([H:8])[H:9].[H:23],21.1
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[n+:7]([H:19])[c:27]([H:28])[o:8]1)([H:9])([H:10])[H:11].[C:20]([F:21])([F:22])([F:23])[C:26]([H:24])[H:25]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[n+:7]([H:19])[c:27]([C:26]([C:20]([F:21])([F:22])[F:23])([H:24])[H:25])[o:8]1)([H:9])([H:10])[H:11].[H:28],14.6
[C:12]([H:15])([H:16])([H:17])[C:18]([F:13])[F:14].[C:1]([O:2][c:3]1[c:4]([H:10])[c:5]([H:11])[s:6][c:19]1[H:20])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:5]([H:11])[s:6][c:19]1[C:18]([C:12]([H:15])([H:16])[H:17])([F:13])[F:14])([H:7])([H:8])[H:9].[H:20],11.7
[C:15]([H:18])([H:19])([H:20])[C:21]([F:16])[F:17].[C:1]([O:2][c:3]1[c:4]([H:11])[c:22]([H:23])[c:5]([H:12])[c:6]([H:13])[n+:7]1[H:14])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:22]([C:21]([C:15]([H:18])([H:19])[H:20])([F:16])[F:17])[c:5]([H:12])[c:6]([H:13])[n+:7]1[H:14])([H:8])([H:9])[H:10].[H:23],11.3
[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:24]([H:25])[c:6]([H:12])[n:7]1)([H:8])([H:9])[H:10].[c:13]1([H:18])[c:14]([H:19])[c:15]([H:20])[c:16]([H:21])[c:17]([H:22])[c:23]1>>[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:24](-[c:23]2[c:13]([H:18])[c:14]([H:19])[c:15]([H:20])[c:16]([H:21])[c:17]2[H:22])[c:6]([H:12])[n:7]1)([H:8])([H:9])[H:10].[H:25],13.1
[C:14]([H:17])([H:18])([H:19])[C:20]([H:15])[H:16].[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:21]([H:22])[c:6]([H:13])[n:7]1)([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:21]([C:20]([C:14]([H:17])([H:18])[H:19])([H:15])[H:16])[c:6]([H:13])[n:7]1)([H:8])([H:9])[H:10].[H:22],15.9
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:30]([H:31])[o:7][c:8]1[H:19])([H:9])([H:10])[H:11].[C:20]([C:21]([F:22])([F:23])[F:24])([H:27])([H:28])[C:29]([H:25])[H:26]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:30]([C:29]([C:20]([C:21]([F:22])([F:23])[F:24])([H:27])[H:28])([H:25])[H:26])[o:7][c:8]1[H:19])([H:9])([H:10])[H:11].[H:31],16.0
[C:11]([C:12]([F:13])([F:14])[F:15])([H:18])([H:19])[C:20]([H:16])[H:17].[C:1]([O:2][c:3]1[c:4]([H:10])[c:21]([H:22])[o:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:21]([C:20]([C:11]([C:12]([F:13])([F:14])[F:15])([H:18])[H:19])([H:16])[H:17])[o:5][n:6]1)([H:7])([H:8])[H:9].[H:22],13.7
[C:1]([O:2][c:3]1[n+:6]([H:12])[c:5]([H:11])[n:4]([H:10])[c:17]1[H:18])([H:7])([H:8])[H:9].[F:13][C:16]([F:14])[F:15]>>[C:1]([O:2][c:3]1[n+:6]([H:12])[c:5]([H:11])[n:4]([H:10])[c:17]1[C:16]([F:13])([F:14])[F:15])([H:7])([H:8])[H:9].[H:18],12.6
[C:14]([H:16])([H:17])([H:18])[C:23]([C:15]([H:20])([H:21])[H:22])[H:19].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[c:24]([H:25])[n+:8]([H:12])[c:9]1[H:13]>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[c:24]([C:23]([C:14]([H:16])([H:17])[H:18])([C:15]([H:20])([H:21])[H:22])[H:19])[n+:8]([H:12])[c:9]1[H:13].[H:25],9.1
[C:19]([H:23])([H:24])([H:25])[C:29]([C:20]([H:26])([H:27])[H:28])[C:21]#[N:22].[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:30]([H:31])[o:7][n:8]1)([H:9])([H:10])[H:11]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:30]([C:29]([C:19]([H:23])([H:24])[H:25])([C:20]([H:26])([H:27])[H:28])[C:21]#[N:22])[o:7][n:8]1)([H:9])([H:10])[H:11].[H:31],21.3
[C:14]([H:17])([H:18])([H:19])[C:26]([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25].[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([H:28])[n+:7]1[H:13])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([C:26]([C:14]([H:17])([H:18])[H:19])([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25])[n+:7]1[H:13])([H:8])([H:9])[H:10].[H:28],18.4
[C:13]([H:16])([H:17])([H:18])[C:25]([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24].[C:1]([O:2][c:3]1[c:4]([H:10])[c:26]([H:27])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:26]([C:25]([C:13]([H:16])([H:17])[H:18])([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[H:27],14.2
[C:1]([O:2][c:3]1[c:6]([H:11])[o:5][c:4]([H:10])[c:16]1[H:17])([H:7])([H:8])[H:9].[F:12][C:15]([H:13])[H:14]>>[C:1]([O:2][c:3]1[c:6]([H:11])[o:5][c:4]([H:10])[c:16]1[C:15]([F:12])([H:13])[H:14])([H:7])([H:8])[H:9].[H:17],19.3
[C:12]([C:13]([F:14])([F:15])[F:16])([H:19])([H:20])[C:21]([H:17])[H:18].[C:1]([O:2][c:3]1[n:6][c:5]([H:11])[n:4]([H:10])[c:22]1[H:23])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:6][c:5]([H:11])[n:4]([H:10])[c:22]1[C:21]([C:12]([C:13]([F:14])([F:15])[F:16])([H:19])[H:20])([H:17])[H:18])([H:7])([H:8])[H:9].[H:23],17.9
[C:14]([H:17])([H:18])([H:19])[C:26]([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25].[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([H:28])[n+:7]1[H:13])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([C:26]([C:14]([H:17])([H:18])[H:19])([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25])[n+:7]1[H:13])([H:8])([H:9])[H:10].[H:28],9.1
[C:11]([C:12]([F:13])([F:14])[F:15])([H:18])([H:19])[C:20]([H:16])[H:17].[C:1]([O:2][c:3]1[n:6][c:5]([H:10])[s:4][c:21]1[H:22])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:6][c:5]([H:10])[s:4][c:21]1[C:20]([C:11]([C:12]([F:13])([F:14])[F:15])([H:18])[H:19])([H:16])[H:17])([H:7])([H:8])[H:9].[H:22],16.6
[C:12]([H:15])([H:16])([H:17])[C:24]([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23].[C:1]([O:2][c:3]1[n+:4]([H:10])[c:25]([H:26])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n+:4]([H:10])[c:25]([C:24]([C:12]([H:15])([H:16])[H:17])([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9].[H:26],14.5
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:9]([H:22])[c:8]([H:21])[n+:7]([H:20])[c:6]([H:19])[c:33]1[H:34])([H:10])([H:11])[H:12].[C:23]([C:24]([F:25])([F:26])[F:27])([H:30])([H:31])[C:32]([H:28])[H:29]>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:9]([H:22])[c:8]([H:21])[n+:7]([H:20])[c:6]([H:19])[c:33]1[C:32]([C:23]([C:24]([F:25])([F:26])[F:27])([H:30])[H:31])([H:28])[H:29])([H:10])([H:11])[H:12].[H:34],21.1
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:34]([H:35])[n:7]([H:19])[c:8]1[H:20])([H:9])([H:10])[H:11].[C:21]([H:24])([H:25])([H:26])[C:33]([C:22]([H:27])([H:28])[H:29])[C:23]([H:30])([H:31])[H:32]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:34]([C:33]([C:21]([H:24])([H:25])[H:26])([C:22]([H:27])([H:28])[H:29])[C:23]([H:30])([H:31])[H:32])[n:7]([H:19])[c:8]1[H:20])([H:9])([H:10])[H:11].[H:35],18.9
[C:13]([H:17])([H:18])([H:19])[C:23]([C:14]([H:20])([H:21])[H:22])[C:15]#[N:16].[F:1][C:2]([F:3])([F:4])[c:5]1[n:9][c:8]([H:12])[c:7]([H:11])[c:6]([H:10])[c:24]1[H:25]>>[F:1][C:2]([F:3])([F:4])[c:5]1[n:9][c:8]([H:12])[c:7]([H:11])[c:6]([H:10])[c:24]1[C:23]([C:13]([H:17])([H:18])[H:19])([C:14]([H:20])([H:21])[H:22])[C:15]#[N:16].[H:25],25.9
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:7]([H:20])[n:8][c:9]([H:21])[c:26]1[H:27])([H:10])([H:11])[H:12].[H:22][C:25]([H:23])[H:24]>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:7]([H:20])[n:8][c:9]([H:21])[c:26]1[C:25]([H:22])([H:23])[H:24])([H:10])([H:11])[H:12].[H:27],18.0
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[s:7][c:24]([H:25])[n+:8]1[H:19])([H:9])([H:10])[H:11].[H:20][C:23]([H:21])[H:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[s:7][c:24]([C:23]([H:20])([H:21])[H:22])[n+:8]1[H:19])([H:9])([H:10])[H:11].[H:25],8.9
[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:6]([H:13])[c:25]([H:26])[n:7]1)([H:8])([H:9])[H:10].[c:14]1([H:19])[c:15]([H:20])[c:16]([H:21])[c:17]([H:22])[c:18]([H:23])[c:24]1>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:6]([H:13])[c:25](-[c:24]2[c:14]([H:19])[c:15]([H:20])[c:16]([H:21])[c:17]([H:22])[c:18]2[H:23])[n:7]1)([H:8])([H:9])[H:10].[H:26],11.8
[C:11]([H:14])([H:15])([H:16])[C:17]([F:12])[F:13].[F:1][C:2]([F:3])([F:4])[c:5]1[s:8][n+:7]([H:10])[c:6]([H:9])[c:18]1[H:19]>>[F:1][C:2]([F:3])([F:4])[c:5]1[s:8][n+:7]([H:10])[c:6]([H:9])[c:18]1[C:17]([C:11]([H:14])([H:15])[H:16])([F:12])[F:13].[H:19],13.4
[C:15]([H:17])([H:18])([H:19])[C:24]([C:16]([H:21])([H:22])[H:23])[H:20].[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:25]([H:26])[n+:6]([H:13])[c:7]1[H:14])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:25]([C:24]([C:15]([H:17])([H:18])[H:19])([C:16]([H:21])([H:22])[H:23])[H:20])[n+:6]([H:13])[c:7]1[H:14])([H:8])([H:9])[H:10].[H:26],12.0
[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][o:6][c:15]1[H:16])([H:7])([H:8])[H:9].[F:11][C:14]([F:12])[F:13]>>[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][o:6][c:15]1[C:14]([F:11])([F:12])[F:13])([H:7])([H:8])[H:9].[H:16],13.3
[C:11]([H:15])([H:16])([H:17])[C:21]([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[F:1][C:2]([F:3])([F:4])[c:5]1[n:8][n:7]([H:10])[c:6]([H:9])[c:22]1[H:23]>>[F:1][C:2]([F:3])([F:4])[c:5]1[n:8][n:7]([H:10])[c:6]([H:9])[c:22]1[C:21]([C:11]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[H:23],29.1
[C:1]([O:2][c:3]1[c:4]([H:10])[s:5][c:15]([H:16])[n:6]1)([H:7])([H:8])[H:9].[F:11][C:14]([F:12])[H:13]>>[C:1]([O:2][c:3]1[c:4]([H:10])[s:5][c:15]([C:14]([F:11])([F:12])[H:13])[n:6]1)([H:7])([H:8])[H:9].[H:16],10.8
